"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
,"Bec ar Goret","Enez-Vriad",22016,"Beg","Beg ar Gored",,,
,"Crec'h Adam","Enez-Vriad",22016,"Diseurt","Krec'h Adam",,,
,"Crec'h-ar-Gall","Enez-Vriad",22016,"Diseurt","Krec'h ar Gall",,,
,"Crec'h Briand","Enez-Vriad",22016,"Kêriadenn","Krec'h Briant",,,
,"Crec'h Guen","Enez-Vriad",22016,"Diseurt","Krec'h Gwenn",,,
,"Crec'h-Simon","Enez-Vriad",22016,"Diseurt","Krec'h Simon",,,
,"Kermiquel","Enez-Vriad",22016,"Kêriadenn","Kervikael",,,
,"Toul ar Groaz","Enez-Vriad",22016,"Diseurt","Toull ar Groaz",,,
,"Ar Palud","Enez-Vriad",22016,"Diseurt","Ar Palud",,,
,"Beg ar Gazeg","Enez-Vriad",22016,"Beg","Beg ar Gazeg",,,
,"Beg ar Wern","Enez-Vriad",22016,"Beg","Beg ar Wern",,,
,"Kerrien","Enez-Vriad",22016,"Diseurt","Kerrien",,,
,"Roc'h Blat","Enez-Vriad",22016,"Karreg","Roc'h Blat",,,
,"Roc'h Herve","Enez-Vriad",22016,"Karreg","Roc'h Herve",,,
,"Al Legoat","Enez-Vriad",22016,"Kêriadenn","An Halegoad",,,
,"Aod ar Ouis","Enez-Vriad",22016,"Diseurt","Aod ar Wiz",,,
,"Aod ar Roudourec","Enez-Vriad",22016,"Diseurt","Aod ar Roudoureg",,,
,"Ar Prad","Enez-Vriad",22016,"Kêriadenn","Penn ar Prad",,,
,"Bec Ru","Enez-Vriad",22016,"Beg","Beg Ru",,,
,"Beg an Amis","Enez-Vriad",22016,"Beg","Beg an Amiz",,,
,"Beg Penn ar Bij","Enez-Vriad",22016,"Beg","Beg Penn ar Biz",,,
,"Beg Pesquen","Enez-Vriad",22016,"Beg","Beg Peskwenn",,,
,"Birlot","Enez-Vriad",22016,"Diseurt","Ar Birlod",,,
,"Crec'h ar Barret","Enez-Vriad",22016,"Diseurt","Krec'h ar Barvet",,,
,"Crec'h Esquern","Enez-Vriad",22016,"Diseurt","Krec'heskern",,,
,"Crec'h Kerrio","Enez-Vriad",22016,"Kêriadenn","Krec'h Kerriou",,,
,"Crec'h Rogen","Enez-Vriad",22016,"Kêriadenn","Krec'h Rojen",,,
,"Crec'h Touric","Enez-Vriad",22016,"Diseurt","Krec'h Tourig",,,
,"Crouezen","Enez-Vriad",22016,"Diseurt","Krouezenn",,,
,"Ker Arguillis","Enez-Vriad",22016,"Kêriadenn","Kerargilliz",,,
