"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
,"Kerarbourg","Landeda",29101,"Kêriadenn","Kerarbourk",16/04/2019,14302
,"Ker ar Guevet","Landeda",29101,"Kêriadenn","Kerargeved",16/04/2019,151012
,"Keramoal","Landeda",29101,"Kêriadenn","Kerarmoal",16/04/2019,151925
,"Keravel Broennou","Landeda",29101,"Kêriadenn","Keravel Broenoù",16/04/2019,151921
,"Kerdavezan","Landeda",29101,"Kêriadenn","Kerdavezan",16/04/2019,151927
,"Kergleuz","Landeda",29101,"Kêriadenn","Kergleuz",16/04/2019,14294
,"Kergoadou","Landeda",29101,"Kêriadenn","Kergoadoù",16/04/2019,151929
,"Kergongant","Landeda",29101,"Kêriadenn","Kergongant",16/04/2019,14288
,"Kergoz","Landeda",29101,"Kêriadenn","Kergozh",16/04/2019,151922
,"Kerheulguen","Landeda",29101,"Kêriadenn","Kerheulgen",16/04/2019,14301
,"Kerizac","Landeda",29101,"Kêriadenn","Kerizag",16/04/2019,151932
,"Kervastard","Landeda",29101,"Kêriadenn","Kervastard",16/04/2019,14282
"Parc des expositions de","Penfeld","Gwiler-Leon",29069,"Monumant","Tachenn an diskouezadegoù Penfell",15/04/2019,152008
,"Men Rouz","Pornaleg-Leskonil",29165,"Monumant","Maen Rous",15/04/2019,151915
"Plage de","Pors Riagat","Pornaleg-Leskonil",29165,"Dour","Aod Porzh Riagad",15/04/2019,151918
"Plage des","Quatre Vents","Pornaleg-Leskonil",29165,"Diseurt","Aod ar Stêr",15/04/2019,149843
"Jardin des","Glénan","Pornaleg-Leskonil",29165,"Takad","Liorzh Glenan",15/04/2019,152028
,"An Aod Wenn","Landeda",29101,"Diseurt","An Aod Wenn",15/04/2019,152020
"Route de l'","Armorique","Landeda",29101,"Hent","Hent an Avor",15/04/2019,151969
,"Loge Stang","An Treoù-Kerne",29300,"Kêriadenn","Loj ar Stank",15/04/2019,2292
"Le","Bec","Landeda",29101,"Kêriadenn","Ar Beg",14/04/2019,151517
,"Cosquer","Landeda",29101,"Kêriadenn","Ar Gozhkêr",14/04/2019,150995
,"Keradraon","Landeda",29101,"Kêriadenn","Keradraoñ",14/04/2019,151014
